message,severity,attributes,tags,timestamp
Sizing: 5.75 (Min Notional: 5.75).,info,"{""level"":""info""}","{""project"":""9de30c9d-0a12-4d2c-817b-42f4979e026f"",""environment"":""96fedd1b-ef8e-4ab2-bee0-bbdfe9327e88"",""service"":""b8a4b737-5458-4c87-8c1b-a97142fef101"",""deployment"":""f91d0c14-87f0-48db-bc8f-bff42779f1b6"",""replica"":""17ea11fb-deea-4f32-b015-b4cba5f6c048""}",2026-03-13T17:57:20.590586514Z
2026-03-13T17:57:20  INFO      polymarket_client  wallet_usdc: USDC.e=$24.1253 native=$0.0000 total=$24.1253,info,"{""level"":""info""}","{""project"":""9de30c9d-0a12-4d2c-817b-42f4979e026f"",""environment"":""96fedd1b-ef8e-4ab2-bee0-bbdfe9327e88"",""service"":""b8a4b737-5458-4c87-8c1b-a97142fef101"",""deployment"":""f91d0c14-87f0-48db-bc8f-bff42779f1b6"",""replica"":""17ea11fb-deea-4f32-b015-b4cba5f6c048""}",2026-03-13T17:57:20.960878321Z
"2026-03-13T17:57:20  INFO      httpx  HTTP Request: GET https://clob.polymarket.com/balance-allowance?asset_type=COLLATERAL&signature_type=0 ""HTTP/2 200 OK""",info,"{""level"":""info""}","{""project"":""9de30c9d-0a12-4d2c-817b-42f4979e026f"",""environment"":""96fedd1b-ef8e-4ab2-bee0-bbdfe9327e88"",""service"":""b8a4b737-5458-4c87-8c1b-a97142fef101"",""deployment"":""f91d0c14-87f0-48db-bc8f-bff42779f1b6"",""replica"":""17ea11fb-deea-4f32-b015-b4cba5f6c048""}",2026-03-13T17:57:20.966141987Z
2026-03-13T17:57:20  INFO      polymarket_client  get_margin: raw_balance=24125321 parsed_balance=24.125321 parsed_available=None,info,"{""level"":""info""}","{""project"":""9de30c9d-0a12-4d2c-817b-42f4979e026f"",""environment"":""96fedd1b-ef8e-4ab2-bee0-bbdfe9327e88"",""service"":""b8a4b737-5458-4c87-8c1b-a97142fef101"",""deployment"":""f91d0c14-87f0-48db-bc8f-bff42779f1b6"",""replica"":""17ea11fb-deea-4f32-b015-b4cba5f6c048""}",2026-03-13T17:57:20.966150056Z
"2026-03-13T17:57:22  INFO      httpx  HTTP Request: GET https://data-api.polymarket.com/positions?user=0x7aba1f81034d418a4ded1613626ca7573fd85153&redeemable=true ""HTTP/1.1 200 OK""",info,"{""level"":""info""}","{""project"":""9de30c9d-0a12-4d2c-817b-42f4979e026f"",""environment"":""96fedd1b-ef8e-4ab2-bee0-bbdfe9327e88"",""service"":""b8a4b737-5458-4c87-8c1b-a97142fef101"",""deployment"":""f91d0c14-87f0-48db-bc8f-bff42779f1b6"",""replica"":""17ea11fb-deea-4f32-b015-b4cba5f6c048""}",2026-03-13T17:57:22.526240005Z
2026-03-13T17:57:22  INFO      polymarket_client  Unclaimed positions: $0.00 (none found),info,"{""level"":""info""}","{""project"":""9de30c9d-0a12-4d2c-817b-42f4979e026f"",""environment"":""96fedd1b-ef8e-4ab2-bee0-bbdfe9327e88"",""service"":""b8a4b737-5458-4c87-8c1b-a97142fef101"",""deployment"":""f91d0c14-87f0-48db-bc8f-bff42779f1b6"",""replica"":""17ea11fb-deea-4f32-b015-b4cba5f6c048""}",2026-03-13T17:57:22.526245096Z
"2026-03-13T17:57:22  INFO      httpx  HTTP Request: GET https://data-api.polymarket.com/positions?user=0x7aba1f81034d418a4ded1613626ca7573fd85153&limit=50 ""HTTP/1.1 200 OK""",info,"{""level"":""info""}","{""project"":""9de30c9d-0a12-4d2c-817b-42f4979e026f"",""environment"":""96fedd1b-ef8e-4ab2-bee0-bbdfe9327e88"",""service"":""b8a4b737-5458-4c87-8c1b-a97142fef101"",""deployment"":""f91d0c14-87f0-48db-bc8f-bff42779f1b6"",""replica"":""17ea11fb-deea-4f32-b015-b4cba5f6c048""}",2026-03-13T17:57:22.590276558Z
"2026-03-13T17:57:23  INFO      httpx  HTTP Request: GET https://clob.polymarket.com/balance-allowance?asset_type=COLLATERAL&signature_type=0 ""HTTP/2 200 OK""",info,"{""level"":""info""}","{""project"":""9de30c9d-0a12-4d2c-817b-42f4979e026f"",""environment"":""96fedd1b-ef8e-4ab2-bee0-bbdfe9327e88"",""service"":""b8a4b737-5458-4c87-8c1b-a97142fef101"",""deployment"":""f91d0c14-87f0-48db-bc8f-bff42779f1b6"",""replica"":""17ea11fb-deea-4f32-b015-b4cba5f6c048""}",2026-03-13T17:57:23.521577587Z
2026-03-13T17:57:23  INFO      polymarket_client  get_margin: raw_balance=24125321 parsed_balance=24.125321 parsed_available=None,info,"{""level"":""info""}","{""project"":""9de30c9d-0a12-4d2c-817b-42f4979e026f"",""environment"":""96fedd1b-ef8e-4ab2-bee0-bbdfe9327e88"",""service"":""b8a4b737-5458-4c87-8c1b-a97142fef101"",""deployment"":""f91d0c14-87f0-48db-bc8f-bff42779f1b6"",""replica"":""17ea11fb-deea-4f32-b015-b4cba5f6c048""}",2026-03-13T17:57:23.522746897Z
2026-03-13T17:57:23  INFO      polymarket_client  wallet_usdc: USDC.e=$24.1253 native=$0.0000 total=$24.1253,info,"{""level"":""info""}","{""project"":""9de30c9d-0a12-4d2c-817b-42f4979e026f"",""environment"":""96fedd1b-ef8e-4ab2-bee0-bbdfe9327e88"",""service"":""b8a4b737-5458-4c87-8c1b-a97142fef101"",""deployment"":""f91d0c14-87f0-48db-bc8f-bff42779f1b6"",""replica"":""17ea11fb-deea-4f32-b015-b4cba5f6c048""}",2026-03-13T17:57:23.598310215Z
2026-03-13T17:57:23  INFO      polymarket_client  wallet_usdc: USDC.e=$24.1253 native=$0.0000 total=$24.1253,info,"{""level"":""info""}","{""project"":""9de30c9d-0a12-4d2c-817b-42f4979e026f"",""environment"":""96fedd1b-ef8e-4ab2-bee0-bbdfe9327e88"",""service"":""b8a4b737-5458-4c87-8c1b-a97142fef101"",""deployment"":""f91d0c14-87f0-48db-bc8f-bff42779f1b6"",""replica"":""17ea11fb-deea-4f32-b015-b4cba5f6c048""}",2026-03-13T17:57:23.788303929Z
"2026-03-13T17:57:23  INFO      httpx  HTTP Request: GET https://clob.polymarket.com/balance-allowance?asset_type=COLLATERAL&signature_type=0 ""HTTP/2 200 OK""",info,"{""level"":""info""}","{""project"":""9de30c9d-0a12-4d2c-817b-42f4979e026f"",""environment"":""96fedd1b-ef8e-4ab2-bee0-bbdfe9327e88"",""service"":""b8a4b737-5458-4c87-8c1b-a97142fef101"",""deployment"":""f91d0c14-87f0-48db-bc8f-bff42779f1b6"",""replica"":""17ea11fb-deea-4f32-b015-b4cba5f6c048""}",2026-03-13T17:57:23.996498946Z
2026-03-13T17:57:23  INFO      polymarket_client  get_margin: raw_balance=24125321 parsed_balance=24.125321 parsed_available=None,info,"{""level"":""info""}","{""project"":""9de30c9d-0a12-4d2c-817b-42f4979e026f"",""environment"":""96fedd1b-ef8e-4ab2-bee0-bbdfe9327e88"",""service"":""b8a4b737-5458-4c87-8c1b-a97142fef101"",""deployment"":""f91d0c14-87f0-48db-bc8f-bff42779f1b6"",""replica"":""17ea11fb-deea-4f32-b015-b4cba5f6c048""}",2026-03-13T17:57:23.996503917Z
"2026-03-13T17:57:24  INFO      signals  LATE_CONVICTION: rem=2.6m post=0.943 dist=-128.7 micro_boost=1.0 → score_req relaxed to 0.5, edge relaxed to 0.006",info,"{""level"":""info""}","{""project"":""9de30c9d-0a12-4d2c-817b-42f4979e026f"",""environment"":""96fedd1b-ef8e-4ab2-bee0-bbdfe9327e88"",""service"":""b8a4b737-5458-4c87-8c1b-a97142fef101"",""deployment"":""f91d0c14-87f0-48db-bc8f-bff42779f1b6"",""replica"":""17ea11fb-deea-4f32-b015-b4cba5f6c048""}",2026-03-13T17:57:24.119202722Z
2026-03-13T17:57:24  INFO      signals  gate_eval: dir=DOWN primary=CLEAR edge=0.0661 req_edge=0.006 score=1.49 req_score=1.2 minutes_rem=2.6,info,"{""level"":""info""}","{""project"":""9de30c9d-0a12-4d2c-817b-42f4979e026f"",""environment"":""96fedd1b-ef8e-4ab2-bee0-bbdfe9327e88"",""service"":""b8a4b737-5458-4c87-8c1b-a97142fef101"",""deployment"":""f91d0c14-87f0-48db-bc8f-bff42779f1b6"",""replica"":""17ea11fb-deea-4f32-b015-b4cba5f6c048""}",2026-03-13T17:57:24.119207285Z
2026-03-13T17:57:24  INFO      signals  signal: score=1.49 dir=DOWN postUp=0.0572 edge=0.0661 regime=high monster=False gates=CLEAR,info,"{""level"":""info""}","{""project"":""9de30c9d-0a12-4d2c-817b-42f4979e026f"",""environment"":""96fedd1b-ef8e-4ab2-bee0-bbdfe9327e88"",""service"":""b8a4b737-5458-4c87-8c1b-a97142fef101"",""deployment"":""f91d0c14-87f0-48db-bc8f-bff42779f1b6"",""replica"":""17ea11fb-deea-4f32-b015-b4cba5f6c048""}",2026-03-13T17:57:24.119211702Z
"2026-03-13T17:57:24  INFO      httpx  HTTP Request: GET https://data-api.polymarket.com/positions?user=0x7aba1f81034d418a4ded1613626ca7573fd85153 ""HTTP/1.1 200 OK""",info,"{""level"":""info""}","{""project"":""9de30c9d-0a12-4d2c-817b-42f4979e026f"",""environment"":""96fedd1b-ef8e-4ab2-bee0-bbdfe9327e88"",""service"":""b8a4b737-5458-4c87-8c1b-a97142fef101"",""deployment"":""f91d0c14-87f0-48db-bc8f-bff42779f1b6"",""replica"":""17ea11fb-deea-4f32-b015-b4cba5f6c048""}",2026-03-13T17:57:24.178401674Z
SignedScore: 1.5 (+2.9) (Min Req: 1).,info,"{""level"":""info""}","{""project"":""9de30c9d-0a12-4d2c-817b-42f4979e026f"",""environment"":""96fedd1b-ef8e-4ab2-bee0-bbdfe9327e88"",""service"":""b8a4b737-5458-4c87-8c1b-a97142fef101"",""deployment"":""f91d0c14-87f0-48db-bc8f-bff42779f1b6"",""replica"":""17ea11fb-deea-4f32-b015-b4cba5f6c048""}",2026-03-13T17:57:24.207825503Z
ScoreDelta: 2.8770348371545724,info,"{""level"":""info""}","{""project"":""9de30c9d-0a12-4d2c-817b-42f4979e026f"",""environment"":""96fedd1b-ef8e-4ab2-bee0-bbdfe9327e88"",""service"":""b8a4b737-5458-4c87-8c1b-a97142fef101"",""deployment"":""f91d0c14-87f0-48db-bc8f-bff42779f1b6"",""replica"":""17ea11fb-deea-4f32-b015-b4cba5f6c048""}",2026-03-13T17:57:24.207837813Z
2026-03-13T17:57:24  INFO      sizing  sizing: negative edge (-0.0832) — skipping position,info,"{""level"":""info""}","{""project"":""9de30c9d-0a12-4d2c-817b-42f4979e026f"",""environment"":""96fedd1b-ef8e-4ab2-bee0-bbdfe9327e88"",""service"":""b8a4b737-5458-4c87-8c1b-a97142fef101"",""deployment"":""f91d0c14-87f0-48db-bc8f-bff42779f1b6"",""replica"":""17ea11fb-deea-4f32-b015-b4cba5f6c048""}",2026-03-13T17:57:24.207844377Z
PriceDelta: N/A,info,"{""level"":""info""}","{""project"":""9de30c9d-0a12-4d2c-817b-42f4979e026f"",""environment"":""96fedd1b-ef8e-4ab2-bee0-bbdfe9327e88"",""service"":""b8a4b737-5458-4c87-8c1b-a97142fef101"",""deployment"":""f91d0c14-87f0-48db-bc8f-bff42779f1b6"",""replica"":""17ea11fb-deea-4f32-b015-b4cba5f6c048""}",2026-03-13T17:57:24.207849405Z
2026-03-13T17:57:24  INFO      sizing  LOW_BAL_FLOOR: forced $5.75 (bal=$24.13 edge=0.0661 post=0.943),info,"{""level"":""info""}","{""project"":""9de30c9d-0a12-4d2c-817b-42f4979e026f"",""environment"":""96fedd1b-ef8e-4ab2-bee0-bbdfe9327e88"",""service"":""b8a4b737-5458-4c87-8c1b-a97142fef101"",""deployment"":""f91d0c14-87f0-48db-bc8f-bff42779f1b6"",""replica"":""17ea11fb-deea-4f32-b015-b4cba5f6c048""}",2026-03-13T17:57:24.207853545Z
2026-03-13T17:57:24  INFO      engine  ,info,"{""level"":""info""}","{""project"":""9de30c9d-0a12-4d2c-817b-42f4979e026f"",""environment"":""96fedd1b-ef8e-4ab2-bee0-bbdfe9327e88"",""service"":""b8a4b737-5458-4c87-8c1b-a97142fef101"",""deployment"":""f91d0c14-87f0-48db-bc8f-bff42779f1b6"",""replica"":""17ea11fb-deea-4f32-b015-b4cba5f6c048""}",2026-03-13T17:57:24.207858231Z
=== BTC 15m Quant Engine ===,info,"{""level"":""info""}","{""project"":""9de30c9d-0a12-4d2c-817b-42f4979e026f"",""environment"":""96fedd1b-ef8e-4ab2-bee0-bbdfe9327e88"",""service"":""b8a4b737-5458-4c87-8c1b-a97142fef101"",""deployment"":""f91d0c14-87f0-48db-bc8f-bff42779f1b6"",""replica"":""17ea11fb-deea-4f32-b015-b4cba5f6c048""}",2026-03-13T17:57:24.207863566Z
Position: FLAT,info,"{""level"":""info""}","{""project"":""9de30c9d-0a12-4d2c-817b-42f4979e026f"",""environment"":""96fedd1b-ef8e-4ab2-bee0-bbdfe9327e88"",""service"":""b8a4b737-5458-4c87-8c1b-a97142fef101"",""deployment"":""f91d0c14-87f0-48db-bc8f-bff42779f1b6"",""replica"":""17ea11fb-deea-4f32-b015-b4cba5f6c048""}",2026-03-13T17:57:24.207868233Z
Balance: USDC=24.13,info,"{""level"":""info""}","{""project"":""9de30c9d-0a12-4d2c-817b-42f4979e026f"",""environment"":""96fedd1b-ef8e-4ab2-bee0-bbdfe9327e88"",""service"":""b8a4b737-5458-4c87-8c1b-a97142fef101"",""deployment"":""f91d0c14-87f0-48db-bc8f-bff42779f1b6"",""replica"":""17ea11fb-deea-4f32-b015-b4cba5f6c048""}",2026-03-13T17:57:24.207874197Z
now=1773424644 | window=1773423900-1773424800 | rem=2.6min,info,"{""level"":""info""}","{""project"":""9de30c9d-0a12-4d2c-817b-42f4979e026f"",""environment"":""96fedd1b-ef8e-4ab2-bee0-bbdfe9327e88"",""service"":""b8a4b737-5458-4c87-8c1b-a97142fef101"",""deployment"":""f91d0c14-87f0-48db-bc8f-bff42779f1b6"",""replica"":""17ea11fb-deea-4f32-b015-b4cba5f6c048""}",2026-03-13T17:57:24.207874280Z
Strike=71198.80 | Price=71070.13 | Dist=-128.7,info,"{""level"":""info""}","{""project"":""9de30c9d-0a12-4d2c-817b-42f4979e026f"",""environment"":""96fedd1b-ef8e-4ab2-bee0-bbdfe9327e88"",""service"":""b8a4b737-5458-4c87-8c1b-a97142fef101"",""deployment"":""f91d0c14-87f0-48db-bc8f-bff42779f1b6"",""replica"":""17ea11fb-deea-4f32-b015-b4cba5f6c048""}",2026-03-13T17:57:24.207883430Z
TP: price=0.99 timeRiskLow=0.85 maxLoss=0.1,info,"{""level"":""info""}","{""project"":""9de30c9d-0a12-4d2c-817b-42f4979e026f"",""environment"":""96fedd1b-ef8e-4ab2-bee0-bbdfe9327e88"",""service"":""b8a4b737-5458-4c87-8c1b-a97142fef101"",""deployment"":""f91d0c14-87f0-48db-bc8f-bff42779f1b6"",""replica"":""17ea11fb-deea-4f32-b015-b4cba5f6c048""}",2026-03-13T17:57:24.207884508Z
StrikeSource: binance_15m_open (locked=true),info,"{""level"":""info""}","{""project"":""9de30c9d-0a12-4d2c-817b-42f4979e026f"",""environment"":""96fedd1b-ef8e-4ab2-bee0-bbdfe9327e88"",""service"":""b8a4b737-5458-4c87-8c1b-a97142fef101"",""deployment"":""f91d0c14-87f0-48db-bc8f-bff42779f1b6"",""replica"":""17ea11fb-deea-4f32-b015-b4cba5f6c048""}",2026-03-13T17:57:24.207889168Z
Micro: cvdS=1.0 | cvd=13 | obi=-0.4826 | vpinProxy=0.7880 | deepImb=0.8940 | macd=-1.0,info,"{""level"":""info""}","{""project"":""9de30c9d-0a12-4d2c-817b-42f4979e026f"",""environment"":""96fedd1b-ef8e-4ab2-bee0-bbdfe9327e88"",""service"":""b8a4b737-5458-4c87-8c1b-a97142fef101"",""deployment"":""f91d0c14-87f0-48db-bc8f-bff42779f1b6"",""replica"":""17ea11fb-deea-4f32-b015-b4cba5f6c048""}",2026-03-13T17:57:24.207894120Z
Polymarket: https://polymarket.com/event/btc-updown-15m-1773423900,info,"{""level"":""info""}","{""project"":""9de30c9d-0a12-4d2c-817b-42f4979e026f"",""environment"":""96fedd1b-ef8e-4ab2-bee0-bbdfe9327e88"",""service"":""b8a4b737-5458-4c87-8c1b-a97142fef101"",""deployment"":""f91d0c14-87f0-48db-bc8f-bff42779f1b6"",""replica"":""17ea11fb-deea-4f32-b015-b4cba5f6c048""}",2026-03-13T17:57:24.207895317Z
Vol: ATR5m=226.1 Regime=high ExpMove=164.1 MinRem=2.6,info,"{""level"":""info""}","{""project"":""9de30c9d-0a12-4d2c-817b-42f4979e026f"",""environment"":""96fedd1b-ef8e-4ab2-bee0-bbdfe9327e88"",""service"":""b8a4b737-5458-4c87-8c1b-a97142fef101"",""deployment"":""f91d0c14-87f0-48db-bc8f-bff42779f1b6"",""replica"":""17ea11fb-deea-4f32-b015-b4cba5f6c048""}",2026-03-13T17:57:24.207900651Z
Sizing: 5.75 (Min Notional: 5.75).,info,"{""level"":""info""}","{""project"":""9de30c9d-0a12-4d2c-817b-42f4979e026f"",""environment"":""96fedd1b-ef8e-4ab2-bee0-bbdfe9327e88"",""service"":""b8a4b737-5458-4c87-8c1b-a97142fef101"",""deployment"":""f91d0c14-87f0-48db-bc8f-bff42779f1b6"",""replica"":""17ea11fb-deea-4f32-b015-b4cba5f6c048""}",2026-03-13T17:57:24.207905457Z
Bayesian: z=-0.7841 PostUp=0.0572 PostDown=0.9428,info,"{""level"":""info""}","{""project"":""9de30c9d-0a12-4d2c-817b-42f4979e026f"",""environment"":""96fedd1b-ef8e-4ab2-bee0-bbdfe9327e88"",""service"":""b8a4b737-5458-4c87-8c1b-a97142fef101"",""deployment"":""f91d0c14-87f0-48db-bc8f-bff42779f1b6"",""replica"":""17ea11fb-deea-4f32-b015-b4cba5f6c048""}",2026-03-13T17:57:24.207908587Z
Decision: NO_TRADE | Exec=false | Mode=none | Exit=HOLD,info,"{""level"":""info""}","{""project"":""9de30c9d-0a12-4d2c-817b-42f4979e026f"",""environment"":""96fedd1b-ef8e-4ab2-bee0-bbdfe9327e88"",""service"":""b8a4b737-5458-4c87-8c1b-a97142fef101"",""deployment"":""f91d0c14-87f0-48db-bc8f-bff42779f1b6"",""replica"":""17ea11fb-deea-4f32-b015-b4cba5f6c048""}",2026-03-13T17:57:24.207914745Z
Market: YES=0.14 NO=0.86,info,"{""level"":""info""}","{""project"":""9de30c9d-0a12-4d2c-817b-42f4979e026f"",""environment"":""96fedd1b-ef8e-4ab2-bee0-bbdfe9327e88"",""service"":""b8a4b737-5458-4c87-8c1b-a97142fef101"",""deployment"":""f91d0c14-87f0-48db-bc8f-bff42779f1b6"",""replica"":""17ea11fb-deea-4f32-b015-b4cba5f6c048""}",2026-03-13T17:57:24.207915840Z
Final: Up=0.0572 Down=0.9428,info,"{""level"":""info""}","{""project"":""9de30c9d-0a12-4d2c-817b-42f4979e026f"",""environment"":""96fedd1b-ef8e-4ab2-bee0-bbdfe9327e88"",""service"":""b8a4b737-5458-4c87-8c1b-a97142fef101"",""deployment"":""f91d0c14-87f0-48db-bc8f-bff42779f1b6"",""replica"":""17ea11fb-deea-4f32-b015-b4cba5f6c048""}",2026-03-13T17:57:24.207922016Z
SkipGates: none,info,"{""level"":""info""}","{""project"":""9de30c9d-0a12-4d2c-817b-42f4979e026f"",""environment"":""96fedd1b-ef8e-4ab2-bee0-bbdfe9327e88"",""service"":""b8a4b737-5458-4c87-8c1b-a97142fef101"",""deployment"":""f91d0c14-87f0-48db-bc8f-bff42779f1b6"",""replica"":""17ea11fb-deea-4f32-b015-b4cba5f6c048""}",2026-03-13T17:57:24.207924320Z
Edge: 0.0661 (Min Req: 0.001),info,"{""level"":""info""}","{""project"":""9de30c9d-0a12-4d2c-817b-42f4979e026f"",""environment"":""96fedd1b-ef8e-4ab2-bee0-bbdfe9327e88"",""service"":""b8a4b737-5458-4c87-8c1b-a97142fef101"",""deployment"":""f91d0c14-87f0-48db-bc8f-bff42779f1b6"",""replica"":""17ea11fb-deea-4f32-b015-b4cba5f6c048""}",2026-03-13T17:57:24.207927700Z
REDEEM_READY_PREVIEW: 0,info,"{""level"":""info""}","{""project"":""9de30c9d-0a12-4d2c-817b-42f4979e026f"",""environment"":""96fedd1b-ef8e-4ab2-bee0-bbdfe9327e88"",""service"":""b8a4b737-5458-4c87-8c1b-a97142fef101"",""deployment"":""f91d0c14-87f0-48db-bc8f-bff42779f1b6"",""replica"":""17ea11fb-deea-4f32-b015-b4cba5f6c048""}",2026-03-13T17:57:24.207932022Z
RUNTIME: 1737ms,info,"{""level"":""info""}","{""project"":""9de30c9d-0a12-4d2c-817b-42f4979e026f"",""environment"":""96fedd1b-ef8e-4ab2-bee0-bbdfe9327e88"",""service"":""b8a4b737-5458-4c87-8c1b-a97142fef101"",""deployment"":""f91d0c14-87f0-48db-bc8f-bff42779f1b6"",""replica"":""17ea11fb-deea-4f32-b015-b4cba5f6c048""}",2026-03-13T17:57:24.208617414Z
,info,"{""level"":""info""}","{""project"":""9de30c9d-0a12-4d2c-817b-42f4979e026f"",""environment"":""96fedd1b-ef8e-4ab2-bee0-bbdfe9327e88"",""service"":""b8a4b737-5458-4c87-8c1b-a97142fef101"",""deployment"":""f91d0c14-87f0-48db-bc8f-bff42779f1b6"",""replica"":""17ea11fb-deea-4f32-b015-b4cba5f6c048""}",2026-03-13T17:57:24.208622474Z
"2026-03-13T17:57:25  INFO      httpx  HTTP Request: GET https://data-api.polymarket.com/positions?user=0x7aba1f81034d418a4ded1613626ca7573fd85153&redeemable=true ""HTTP/1.1 200 OK""",info,"{""level"":""info""}","{""project"":""9de30c9d-0a12-4d2c-817b-42f4979e026f"",""environment"":""96fedd1b-ef8e-4ab2-bee0-bbdfe9327e88"",""service"":""b8a4b737-5458-4c87-8c1b-a97142fef101"",""deployment"":""f91d0c14-87f0-48db-bc8f-bff42779f1b6"",""replica"":""17ea11fb-deea-4f32-b015-b4cba5f6c048""}",2026-03-13T17:57:25.536049756Z
2026-03-13T17:57:25  INFO      polymarket_client  Unclaimed positions: $0.00 (none found),info,"{""level"":""info""}","{""project"":""9de30c9d-0a12-4d2c-817b-42f4979e026f"",""environment"":""96fedd1b-ef8e-4ab2-bee0-bbdfe9327e88"",""service"":""b8a4b737-5458-4c87-8c1b-a97142fef101"",""deployment"":""f91d0c14-87f0-48db-bc8f-bff42779f1b6"",""replica"":""17ea11fb-deea-4f32-b015-b4cba5f6c048""}",2026-03-13T17:57:25.536056231Z
"2026-03-13T17:57:25  INFO      httpx  HTTP Request: GET https://data-api.polymarket.com/positions?user=0x7aba1f81034d418a4ded1613626ca7573fd85153&limit=50 ""HTTP/1.1 200 OK""",info,"{""level"":""info""}","{""project"":""9de30c9d-0a12-4d2c-817b-42f4979e026f"",""environment"":""96fedd1b-ef8e-4ab2-bee0-bbdfe9327e88"",""service"":""b8a4b737-5458-4c87-8c1b-a97142fef101"",""deployment"":""f91d0c14-87f0-48db-bc8f-bff42779f1b6"",""replica"":""17ea11fb-deea-4f32-b015-b4cba5f6c048""}",2026-03-13T17:57:25.610973761Z
